"de_temperature","de_radiation_direct_horizontal","de_radiation_diffuse_horizontal","timestamp","id","de_solar_generation_prediction"
"5","0","0","2024-02-01 20:25:00+00",1612,"0"
"5","0","0","2024-02-01 20:30:00+00",1613,"0"
"5","0","0","2024-02-01 20:35:00+00",1614,"0"
"5","0","0","2024-02-01 20:40:00+00",1615,"0"
"5","0","0","2024-02-01 20:45:00+00",1616,"0"
"5","0","0","2024-02-01 20:50:00+00",1617,"0"
"5","0","0","2024-02-01 20:55:00+00",1618,"0"
"5","0","0","2024-02-01 21:00:00+00",1619,"0"
"5","0","0","2024-02-01 21:05:00+00",1620,"0"
"5","0","0","2024-02-01 21:10:00+00",1621,"0"
"4","0","0","2024-02-01 21:15:00+00",1622,"0"
"4","0","0","2024-02-01 21:20:00+00",1623,"0"
"4","0","0","2024-02-01 21:25:00+00",1624,"0"
"4","0","0","2024-02-01 21:30:00+00",1625,"0"
"4","0","0","2024-02-01 21:35:00+00",1626,"0"
"4","0","0","2024-02-01 21:40:00+00",1627,"0"
"4","0","0","2024-02-01 21:45:00+00",1628,"0"
"4","0","0","2024-02-01 21:50:00+00",1629,"0"
"4","0","0","2024-02-01 21:55:00+00",1630,"0"
"4","0","0","2024-02-01 22:00:00+00",1631,"0"
"4","0","0","2024-02-01 22:05:00+00",1632,"0"
"4","0","0","2024-02-01 22:10:00+00",1633,"0"
"4","0","0","2024-02-01 22:15:00+00",1634,"0"
"4","0","0","2024-02-01 22:20:00+00",1635,"0"
"4","0","0","2024-02-01 22:25:00+00",1636,"0"
"4","0","0","2024-02-01 22:30:00+00",1637,"0"
"4","0","0","2024-02-01 22:35:00+00",1638,"0"
"4","0","0","2024-02-01 22:40:00+00",1639,"0"
"4","0","0","2024-02-01 22:45:00+00",1640,"0"
"4","0","0","2024-02-01 22:50:00+00",1641,"0"
"4","0","0","2024-02-01 22:55:00+00",1642,"0"
"4","0","0","2024-02-01 23:00:00+00",1643,"0"
"4","0","0","2024-02-01 23:05:00+00",1644,"0"
"4","0","0","2024-02-01 23:10:00+00",1645,"0"
"4","0","0","2024-02-01 23:15:00+00",1646,"0"
"4","0","0","2024-02-01 23:20:00+00",1647,"0"
"4","0","0","2024-02-01 23:25:00+00",1648,"0"
"4","0","0","2024-02-01 23:30:00+00",1649,"0"
"4","0","0","2024-02-01 23:35:00+00",1650,"0"
"4","0","0","2024-02-01 23:40:00+00",1651,"0"
"4","0","0","2024-02-01 23:45:00+00",1652,"0"
"4","0","0","2024-02-01 23:50:00+00",1653,"0"
"4","0","0","2024-02-01 23:55:00+00",1654,"0"
"4","0","0","2024-02-02 00:00:00+00",1655,"0"
"4","0","0","2024-02-02 00:05:00+00",1656,"0"
"4","0","0","2024-02-02 00:10:00+00",1657,"0"
"4","0","0","2024-02-02 00:15:00+00",1658,"0"
"4","0","0","2024-02-02 00:20:00+00",1659,"0"
"4","0","0","2024-02-02 00:25:00+00",1660,"0"
"4","0","0","2024-02-02 00:30:00+00",1661,"0"
"5","0","0","2024-02-02 00:35:00+00",1662,"0"
"5","0","0","2024-02-02 00:40:00+00",1663,"0"
"5","0","0","2024-02-02 00:45:00+00",1664,"0"
"5","0","0","2024-02-02 00:50:00+00",1665,"0"
"5","0","0","2024-02-02 00:55:00+00",1666,"0"
"5","0","0","2024-02-02 01:00:00+00",1667,"0"
"5","0","0","2024-02-02 01:05:00+00",1668,"0"
"5","0","0","2024-02-02 01:10:00+00",1669,"0"
"5","0","0","2024-02-02 01:15:00+00",1670,"0"
"5","0","0","2024-02-02 01:20:00+00",1671,"0"
"5","0","0","2024-02-02 01:25:00+00",1672,"0"
"5","0","0","2024-02-02 01:30:00+00",1673,"0"
"5","0","0","2024-02-02 01:35:00+00",1674,"0"
"5","0","0","2024-02-02 01:40:00+00",1675,"0"
"5","0","0","2024-02-02 01:45:00+00",1676,"0"
"5","0","0","2024-02-02 01:50:00+00",1677,"0"
"5","0","0","2024-02-02 01:55:00+00",1678,"0"
"5","0","0","2024-02-02 02:00:00+00",1679,"0"
"5","0","0","2024-02-02 02:05:00+00",1680,"0"
"5","0","0","2024-02-02 02:10:00+00",1681,"0"
"5","0","0","2024-02-02 02:15:00+00",1682,"0"
"5","0","0","2024-02-02 02:20:00+00",1683,"0"
"5","0","0","2024-02-02 02:25:00+00",1684,"0"
"5","0","0","2024-02-02 02:30:00+00",1685,"0"
"5","0","0","2024-02-02 02:35:00+00",1686,"0"
"5","0","0","2024-02-02 02:40:00+00",1687,"0"
"5","0","0","2024-02-02 02:45:00+00",1688,"0"
"5","0","0","2024-02-02 02:50:00+00",1689,"0"
"5","0","0","2024-02-02 02:55:00+00",1690,"0"
"5","0","0","2024-02-02 03:00:00+00",1691,"0"
"5","0","0","2024-02-02 03:05:00+00",1692,"0"
"5","0","0","2024-02-02 03:10:00+00",1693,"0"
"5","0","0","2024-02-02 03:15:00+00",1694,"0"
"5","0","0","2024-02-02 03:20:00+00",1695,"0"
"5","0","0","2024-02-02 03:25:00+00",1696,"0"
"5","0","0","2024-02-02 03:30:00+00",1697,"0"
"5","0","0","2024-02-02 03:35:00+00",1698,"0"
"5","0","0","2024-02-02 03:40:00+00",1699,"0"
"5","0","0","2024-02-02 03:45:00+00",1700,"0"
"5","0","0","2024-02-02 03:50:00+00",1701,"0"
